assetName,scenarioEnabled,enabled,capexCNY,constructionFinancingCNY,financedCapexCNY,fixedOMAnnualCNY,depreciationLifeYear,annualDepreciationCNY,annualFinancingCNY,replacementPVCNY,annualReplacementRecoveryCNY,replacementSchedule,sourceCategory,sourceUrl,dataStatus,annualCapitalRecoveryCNY,annualizedBurdenCNY
floatingWind,1,1,13600000000,0,13600000000,498899952,25,544000000,730031395.106766,0,0,none within analysis life,政府官网＋美国国家实验室官方报告,https://www.nea.gov.cn/20260522/7cf96e984e124058922e2513523e8581/c.html ; https://www.nrel.gov/docs/fy25osti/91775.pdf,政府官网公开目标代理,1274031395.10677,1772931347.10677
marineFloatingPV,1,1,641287520,0,641287520,11956208,25,25651500.8,34423531.0948646,0,0,none within analysis life,国际合作组织技术报告＋美国国家实验室官方基准,https://iea-pvps.org/key-topics/t13-floating-pv-plants-review-2025/ ; https://atb.nrel.gov/electricity/2024/utility-scale_pv,国际合作组织数据库中位值代理,60075031.8948646,72031239.8948646
tidalStream,1,1,2173856000,0,2173856000,65215680,20,108692800,94951375.9147952,368328212.797093,34504537.2652252,Y10/Y20: 25% major overhaul [假设值],欧盟政府报告＋假设值,https://op.europa.eu/webpub/mare/eu-blue-economy-report-2025/blue-economic-sectors/marine-renewable-energy.html,[假设值，待企业调研校准],238148713.18002,303364393.18002
BESS,1,1,455966296,0,455966296,11399157.4,15,30397753.0666667,12316612.8314616,253409810.4044,23739121.6384749,Y10/Y20: NREL replacement-cost proxy,美国国家实验室官方技术报告,https://www.nrel.gov/docs/fy24osti/87646.pdf,美国国家实验室公开成本代理,66453487.5366032,77852644.9366032
PEMElectrolyzer,1,1,215007945,0,215007945,6450238.35,20,10750397.25,9391284.52407271,58287939.67514,5460343.02222188,Y10/Y20: 40% stack [假设值],美国国家实验室官方技术报告,https://www.nrel.gov/docs/fy24osti/87625.pdf,美国国家实验室公开制造价格代理,25602024.7962946,32052263.1462946
hydrogenStorage,1,0,0,0,0,0,25,0,0,0,0,none within analysis life,美国能源部/国家实验室官方技术报告,https://www.hydrogen.energy.gov/docs/hydrogenprogramlibraries/pdfs/progress19/ins_sa173_hunter_2019.pdf,美国国家实验室陆上储氢代理,0,0
subseaCompute,1,1,4632661044.48,0,4632661044.48,185306441.7792,25,185306441.7792,248675588.629302,3876533390.76369,363148915.000928,Y5/Y10/Y15/Y20: 50% IT [假设值],企业官方网站技术白皮书,https://blog.se.com/datacenter/architecture/2020/02/24/liquid-vs-air-cooling-which-is-the-capex-winner/,企业官网2 MW液冷数据中心代理,797130945.40943,982437387.18863
powerExportCable,1,1,1350771494.47228,0,1350771494.47228,13507714.9447228,40,33769287.361807,92769337.0185586,0,0,none within analysis life,美国国家实验室官方技术报告,https://docs.nrel.gov/docs/fy24osti/88003.pdf,NREL电压等级/线路安装成本代理,126538624.380366,140046339.325089
converterAndSubstation,1,1,2726151290,0,2726151290,27261512.9,30,90871709.6666667,164510814.691481,0,0,none within analysis life,美国国家实验室官方技术报告,https://docs.nrel.gov/docs/fy24osti/88003.pdf,NREL换流站/变电站成本代理,255382524.358148,282644037.258148
fiberCable,1,1,54141500,0,54141500,1624245,25,2165660,2906249.61604213,6450100.36911958,604237.527341771,Y12: 30% [假设值],欧盟政府研究机构官网,https://joint-research-centre.ec.europa.eu/jrc-explains/subsea-cables-how-vulnerable-are-they-and-can-we-protect-them_en,欧盟政府研究机构平均安装成本代理,5676147.1433839,7300392.1433839
